% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, interquartile range, further/more values", seed=209128, Thu Jun  5 15:35:05 2025, <python>{}</python>
1 9 0.19207526951880555 1.0000492765763696 -53820.0 -5.3820000000000000e+04 -13502.0 -810.0 10321.0   
2 18 0.1862657836627989 1.0000492765763696 -68752.0 -6.8752000000000000e+04 -8602.0 -2058.0 21067.0   
3 27 0.18124432828275588 1.0265564094518567 -68752.0 -2.2306000000000000e+04 -8984.0 -1170.0 9154.5   
4 36 0.1770137258175508 1.0265564094518567 -68752.0 -3.9976000000000000e+04 -2668.0 -1210.0 6882.5   
5 45 0.17328611031432925 1.0353245206063653 -68752.0 -3.7688000000000000e+04 -11690.0 -1740.0 19920.0   
6 54 0.17031439650965297 1.0353245206063653 -68752.0 -2.7968000000000000e+04 -9300.0 -2476.0 14783.0   
7 63 0.16810049487348094 1.046140244495414 -68752.0 -4.1290000000000000e+04 -13202.0 -1450.0 26490.5   
8 72 0.16607168892128865 1.046140244495414 -68752.0 -3.0350000000000000e+04 -5206.0 -946.0 14694.0   
9 81 0.16406535848517267 1.0598497992755203 -68752.0 -4.4870000000000000e+04 -6914.0 -800.0 12513.5   
10 90 0.16239712041128657 1.0598497992755203 -68752.0 -5.2544000000000000e+04 -7624.0 -860.0 19954.0   
11 99 0.1605524173158974 1.0716007154503906 -111352.0 -1.1135200000000000e+05 -19556.0 -1106.0 19399.0   
12 108 0.15914145787969186 1.0716007154503906 -111352.0 -5.9040000000000000e+04 -10404.0 -2794.0 15396.5   
13 117 0.15777589400884784 1.0828628799762414 -111352.0 -4.5354000000000000e+04 -5650.0 -1162.0 18967.5   
14 126 0.15656816471200866 1.0828628799762414 -111352.0 -1.0278200000000000e+05 -9654.0 -406.0 26502.0   
15 135 0.15532779942092861 1.0956470684870034 -111352.0 -6.6958000000000000e+04 -7612.0 -1612.0 18665.5   
16 144 0.15364706164109596 1.0956470684870034 -111352.0 -3.8052000000000000e+04 -23464.0 -822.0 23802.5   
17 153 0.1512537470587179 1.107496415526179 -111352.0 -5.1472000000000000e+04 -8170.0 -1740.0 14475.5   
18 162 0.14921097228423796 1.107496415526179 -111352.0 -4.7366000000000000e+04 -14724.0 -1560.0 19857.5   
19 171 0.14766707617866545 1.1160842001661202 -111352.0 -6.5320000000000000e+04 -10184.0 -288.0 33119.0   
20 180 0.14671150463955449 1.1160842001661202 -125236.0 -1.2523600000000000e+05 -11444.0 -770.0 12968.0   
21 189 0.14541493777316336 1.128074376466237 -125236.0 -4.0948000000000000e+04 -5858.0 -102.0 14128.0   
22 198 0.14505020636846527 1.128074376466237 -125236.0 -3.5030000000000000e+04 -5946.0 -1354.0 16057.5   
23 207 0.145135732049491 1.140028793330552 -125236.0 -2.6552000000000000e+04 -6084.0 -556.0 9828.0   
24 216 0.14535925325904026 1.140028793330552 -125236.0 -2.6982000000000000e+04 -7956.0 -642.0 12380.5   
25 225 0.14539186774908328 1.1559853445768817 -125236.0 -2.8002000000000000e+04 -10514.0 -1036.0 21424.0   
26 234 0.1447584253076195 1.1559853445768817 -125236.0 -2.9394000000000000e+04 -4546.0 -892.0 14231.5   
27 243 0.1439457054639882 1.1717782534569896 -125236.0 -3.3616000000000000e+04 -13764.0 -478.0 28902.5   
28 252 0.14314052176332348 1.1717782534569896 -125236.0 -4.3232000000000000e+04 -9262.0 -1458.0 14640.0   
29 261 0.14280814451228244 1.18426367478363 -125236.0 -6.5958000000000000e+04 -21718.0 -7904.0 29417.5   
30 270 0.1425898416273199 1.18426367478363 -125236.0 -4.7506000000000000e+04 -13352.0 -1738.0 12119.0   
31 279 0.14210519272722982 1.197565156158219 -125236.0 -4.4336000000000000e+04 -8570.0 -1852.0 10157.0   
32 288 0.14225141753408646 1.197565156158219 -125236.0 -3.1954000000000000e+04 -9676.0 -1942.0 14801.0   
33 297 0.1415466497864532 1.2120585352539728 -125236.0 -2.3936000000000000e+04 -6446.0 -1628.0 10593.0   
34 306 0.1411483709352555 1.2120585352539728 -125236.0 -7.2612000000000000e+04 -9132.0 -380.0 17981.0   
35 315 0.14045350872261717 1.2228594681495193 -125236.0 -4.4688000000000000e+04 -5406.0 -1378.0 15361.5   
36 324 0.13935393464662446 1.2228594681495193 -125236.0 -5.0158000000000000e+04 -2730.0 -836.0 12404.5   
37 333 0.13808973622077308 1.2324948751948288 -125236.0 -5.1992000000000000e+04 -6712.0 -976.0 20719.5   
38 342 0.13689154347828375 1.2324948751948288 -125236.0 -3.1800000000000000e+04 -10594.0 -1400.0 17681.0   
39 351 0.13607955934971686 1.23919499485532 -125236.0 -2.6222000000000000e+04 -7284.0 -516.0 6248.5   
40 360 0.13514860473720838 1.23919499485532 -125236.0 -3.3252000000000000e+04 -7652.0 -1370.0 16034.0   
41 369 0.13389689930185228 1.2480236961584326 -125236.0 -3.8228000000000000e+04 -4666.0 -2074.0 13996.0   
42 378 0.13249995056679267 1.2480236961584326 -125236.0 -4.2134000000000000e+04 -17598.0 -5908.0 17908.5   
43 387 0.1318040502593953 1.2558919893857239 -125236.0 -1.2978000000000000e+04 -3966.0 -1450.0 6606.0   
44 396 0.1310993653446659 1.2558919893857239 -125236.0 -1.3396000000000000e+04 -7022.0 -800.0 7765.5   
45 405 0.13004073443225628 1.261177449234611 -125236.0 -3.9628000000000000e+04 -5844.0 -928.0 6711.5   
46 414 0.12929131156393095 1.261177449234611 -125236.0 -2.5284000000000000e+04 -11656.0 -2362.0 9946.5   
